structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.8697,-19.40491391,0.0121,0.0062,0.0134
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.8527,-19.38791391,0.0146,0.007,0.0149
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.8356,-19.37081391,0.0173,0.0078,0.0164
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.8186,-19.35381391,0.0199,0.008799999999999999,0.018099999999999998
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.8016,-19.33681391,0.0224,0.0097,0.0196
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.7845,-19.31971391,0.0244,0.010499999999999999,0.0209
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.7675,-19.30271391,0.0258,0.011,0.022
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.7505,-19.285713910000002,0.0266,0.0115,0.0227
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.7334,-19.26861391,0.0267,0.011800000000000001,0.023
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.7164,-19.25161391,0.0264,0.011699999999999999,0.022600000000000002
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.6994,-19.23461391,0.0259,0.0115,0.022199999999999998
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.6823,-19.21751391,0.0256,0.011300000000000001,0.0215
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.6653,-19.20051391,0.0257,0.011099999999999999,0.020900000000000002
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.6482,-19.18341391,0.0266,0.011200000000000002,0.0208
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.6312,-19.16641391,0.0285,0.0117,0.0212
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.6142,-19.14941391,0.0316,0.0126,0.022699999999999998
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.5971,-19.13231391,0.0361,0.0143,0.0253
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.5801,-19.11531391,0.0421,0.0167,0.029699999999999997
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.5631,-19.09831391,0.0493,0.0196,0.035500000000000004
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.546,-19.08121391,0.0575,0.0234,0.0426
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.529,-19.06421391,0.0663,0.0276,0.0512
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.5119,-19.04711391,0.075,0.032,0.0604
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.4949,-19.03011391,0.0831,0.0364,0.0701
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.4779,-19.01311391,0.0901,0.0405,0.0796
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.4608,-18.996013910000002,0.0956,0.0441,0.0884
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.4438,-18.97901391,0.0997,0.0471,0.0964
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.4268,-18.96201391,0.1023,0.0494,0.1035
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.4097,-18.94491391,0.1038,0.0513,0.11000000000000001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.3927,-18.92791391,0.1044,0.053,0.1163
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.3757,-18.91091391,0.1042,0.054900000000000004,0.1237
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.3586,-18.89381391,0.1034,0.0571,0.1332
