structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.4943,-18.5285847,0.13069999999999998,0.0493,0.13169999999999998
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.4772,-18.5114847,0.13824999999999998,0.052700000000000004,0.14129999999999998
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.4601,-18.4943847,0.14115,0.05449999999999999,0.1466
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.443,-18.4772847,0.13924999999999998,0.0548,0.14755
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.4259,-18.4601847,0.13335000000000002,0.0537,0.14485
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.4088,-18.4430847,0.12485,0.05185,0.14015
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.3917,-18.4259847,0.11555,0.05,0.13555
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.3746,-18.408884699999998,0.1073,0.04875,0.13319999999999999
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.3576,-18.3918847,0.10120000000000001,0.048799999999999996,0.13484999999999997
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.3405,-18.3747847,0.09765,0.05045,0.1416
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.3234,-18.3576847,0.09635,0.0538,0.15415
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.3063,-18.3405847,0.0964,0.0588,0.17235
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.2892,-18.323484699999998,0.09659999999999999,0.0654,0.1967
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.2721,-18.3063847,0.09595,0.0736,0.22725
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.255,-18.2892847,0.09390000000000001,0.08325,0.2641
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.2379,-18.2721847,0.09040000000000001,0.0945,0.3077
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.2208,-18.2550847,0.08585000000000001,0.10700000000000001,0.35785
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.2037,-18.2379847,0.0807,0.12025,0.4131
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.1866,-18.2208847,0.0754,0.13365,0.47065
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.1695,-18.2037847,0.07015,0.14579999999999999,0.5262
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.1524,-18.1866847,0.0648,0.1552,0.57435
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.1354,-18.1696847,0.05925,0.16065000000000002,0.6091500000000001
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.1183,-18.1525847,0.05305,0.16110000000000002,0.62495
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.1012,-18.1354847,0.0463,0.15589999999999998,0.6182500000000001
