structure,defect_atom_number,reference_atom_number,element,initial_distance_to_vacancy_A,relaxed_distance_to_vacancy_A,distance_change_A,total_displacement_A,radial_projection_A,motion_relative_to_vacancy,dx_A,dy_A,dz_A
vacancy_O2,66,67,O,5.029094008485333,4.9828844610945735,-0.04620954739075955,0.06045372756568895,-0.04636060152734535,toward,-0.01778541465474989,0.014873778366684397,-0.0558310211194807
vacancy_O2,57,58,O,5.144910870686311,5.130719051183826,-0.014191819502484826,0.023106802948444104,-0.014224134600849116,toward,0.002852006245506801,0.01814534315932172,0.01401916276046012
vacancy_O2,22,22,Ga,5.204832813457168,5.210667428493003,0.0058346150358348225,0.007995814811471533,0.005831743635067296,away,0.0010339195478650178,-0.0029857050558528275,0.0073450411971169366
vacancy_O2,18,18,Ga,5.204834541697842,5.210854412704474,0.006019871006631483,0.007927126720121873,0.006017315642875364,away,0.0013522154686631286,-0.00316622759650824,0.007140437953675388
vacancy_O2,62,63,O,5.209317309467842,5.227013523970766,0.0176962145029238,0.019521715035121026,0.017689693365302753,away,0.003261547606737146,0.019158640853537023,0.001845574644017339
vacancy_O2,58,59,O,5.209317416744365,5.226785003293568,0.017467586549202885,0.019362716341330292,0.017460887187398202,away,-0.002098600137772915,0.018921239764301965,0.0035351587458495814
vacancy_O2,40,40,O,5.242586340240247,5.254754970406504,0.01216863016625691,0.012267110067711116,0.012168400658420732,away,-0.006202771630378808,0.009300526798970593,-0.005050526188065661
vacancy_O2,36,36,O,5.242586452507109,5.256418437411966,0.013831984904856931,0.014135063641682854,0.013831176504476704,away,0.004647450860991203,0.010659827113466962,-0.008035503130488552
vacancy_O2,23,23,Ga,5.304950292701635,5.337324467739198,0.03237417503756301,0.04246972043219451,0.032302959483924046,away,0.0033584656247898936,-0.03956450353128849,0.015068109455353872
vacancy_O2,32,32,Ga,5.495883403287233,5.476162266890241,-0.019721136396992023,0.0203760232000741,-0.01972352537604623,toward,0.003506266721510452,-0.01681768204707543,0.010956914971426176
vacancy_O2,37,37,O,5.61951606163314,5.593106788884,-0.026409272749140733,0.03136635782413503,-0.026434755256250716,toward,-0.006724190455606447,0.012680399196506273,-0.027889803550503023
vacancy_O2,39,39,O,5.8040969992076015,5.798045050431331,-0.006051948776270244,0.014747706032392316,-0.006067529903638974,toward,0.001999686937852073,-0.013361672549405209,0.005912849740261951
vacancy_O2,50,51,O,5.817410119999999,5.811401702567675,-0.0060084174323238315,0.012178404571115176,-0.006018061969630649,toward,-0.0015075850518635292,-0.008359739322962152,-0.008726710930314867
vacancy_O2,65,66,O,5.822339080635872,5.832552725780138,0.010213645144266259,0.014055946020902394,0.010205637102297492,away,-0.0031957191760578537,-0.0025136151327559662,-0.013455063599057352
vacancy_O2,67,68,O,5.837901043703689,5.853058673878492,0.015157630174803316,0.03575169448951617,0.015067835067065998,away,-0.008239173783823946,0.006765498456800374,-0.034125176993866
vacancy_O2,12,12,Ga,5.927605563547033,5.9233933426501295,-0.004212220896903318,0.006037322980098238,-0.004213798807553201,toward,-0.0029159585970751807,0.005194392239752934,-0.0009822135642313838
vacancy_O2,16,16,Ga,5.927605662409067,5.9232366624879065,-0.004368999921160466,0.006325050096502581,-0.004370764385566136,toward,0.0022842520624407046,0.005389513789471569,-0.0023961620044559793
vacancy_O2,11,11,Ga,5.944743682676242,5.93412397961097,-0.010619703065271935,0.014188344830523735,-0.01062714922616136,toward,-0.0033715265864926384,0.003688224048952513,-0.013279267331865536
vacancy_O2,28,28,Ga,6.28429950299948,6.2906763229892295,0.006376819989749372,0.01187098193492269,0.00636884325511907,away,-0.0021220066380094604,-0.002677322472856002,-0.011368783765374592
vacancy_O2,79,80,O,6.298439303913437,6.321236081848547,0.02279677793511059,0.033034259436033726,0.0227514040587676,away,0.004185344769223698,-0.00670280283708499,0.03207518697961215
vacancy_O2,75,76,O,6.298439977184217,6.321356963834724,0.022916986650506566,0.03300119833368123,0.022872222326614965,away,0.01054494549429408,-0.006860534254351463,0.030509281960187165
vacancy_O2,49,50,O,6.32648587,6.324996320740742,-0.0014895492592579274,0.009618820203898953,-0.0014966861553926604,toward,0.0012713226404931293,-0.00941622915030004,-0.0014966861553926604
vacancy_O2,53,54,O,6.326485880800627,6.324877380292405,-0.0016085005082215886,0.009625081485232322,-0.0016156178021967322,toward,-0.0014978474148956559,-0.009451267857305398,-0.0010354625094701805
vacancy_O2,2,2,Ga,6.460160836349113,6.465692992774095,0.005532156424981949,0.012126212034014436,0.005523144245059811,away,0.0016890182735337857,0.009335376712339862,0.007552680133849711
vacancy_O2,4,4,Ga,6.500201106367822,6.496488070198598,-0.0037130361692234715,0.006373801890864111,-0.0037151006217305397,toward,-0.00013171601632690634,-0.006342654430777305,0.0006154154749166653
